Date,Percent Change in Positive Covid-19 Cases
2020-12-13,1.17
2020-12-12,1.42
2020-12-11,1.52
2020-12-10,1.43
2020-12-09,1.42
2020-12-08,1.49
2020-12-07,1.23
2020-12-06,1.24
2020-12-05,1.51
2020-12-04,1.62
2020-12-03,1.54
2020-12-02,1.46
2020-12-01,1.33
2020-11-30,1.12
2020-11-29,1.03
2020-11-28,1.19
2020-11-27,1.52
2020-11-26,1.01
2020-11-25,1.5
2020-11-24,1.37
2020-11-23,1.25
2020-11-22,1.26
2020-11-21,1.54
2020-11-20,1.67
2020-11-19,1.61
2020-11-18,1.47
2020-11-17,1.43
2020-11-16,1.36
2020-11-15,1.34
2020-11-14,1.55
2020-11-13,1.66
2020-11-12,1.49
2020-11-11,1.44
2020-11-10,1.32
2020-11-09,1.18
2020-11-08,1.13
2020-11-07,1.35
2020-11-06,1.33
2020-11-05,1.25
2020-11-04,1.11
2020-11-03,0.97
2020-11-02,0.9
2020-11-01,1.56
2020-10-31,1.01
2020-10-30,1.1
2020-10-29,1.01
2020-10-28,0.91
2020-10-27,0.84
2020-10-26,0.73
2020-10-25,0.76
2020-10-24,0.99
2020-10-23,0.99
2020-10-22,0.88
2020-10-21,0.74
2020-10-20,0.74
2020-10-19,0.71
2020-10-18,0.6
2020-10-17,0.72
2020-10-16,0.86
2020-10-15,0.81
2020-10-14,0.72
2020-10-13,0.63
2020-10-12,0.55
2020-10-11,0.61
2020-10-10,0.76
2020-10-09,0.75
2020-10-08,0.74
2020-10-07,0.68
2020-10-06,0.53
2020-10-05,0.51
2020-10-04,0.52
2020-10-03,0.7
2020-10-02,0.68
2020-10-01,0.64
2020-09-30,0.62
2020-09-29,0.52
2020-09-28,0.5
2020-09-27,0.5
2020-09-26,0.68
2020-09-25,0.8
2020-09-24,0.63
2020-09-23,0.57
2020-09-22,0.73
2020-09-21,0.58
2020-09-20,0.53
2020-09-19,0.67
2020-09-18,0.71
2020-09-17,0.66
2020-09-16,0.61
2020-09-15,0.54
2020-09-14,0.52
2020-09-13,0.53
2020-09-12,0.66
2020-09-11,0.7
2020-09-10,0.59
2020-09-09,0.5
2020-09-08,0.35
2020-09-07,0.45
2020-09-06,0.53
2020-09-05,0.73
2020-09-04,0.85
2020-09-03,0.74
2020-09-02,0.5
2020-09-01,0.71
2020-08-31,0.53
2020-08-30,0.67
2020-08-29,0.75
2020-08-28,0.79
2020-08-27,0.76
2020-08-26,0.76
2020-08-25,0.64
2020-08-24,0.61
2020-08-23,0.66
2020-08-22,0.82
2020-08-21,0.84
2020-08-20,0.8
2020-08-19,0.83
2020-08-18,0.75
2020-08-17,0.71
2020-08-16,0.79
2020-08-15,1.06
2020-08-14,1.1
2020-08-13,1.0
2020-08-12,1.1
2020-08-11,1.1
2020-08-10,0.83
2020-08-09,1.01
2020-08-08,1.08
2020-08-07,1.26
2020-08-06,1.13
2020-08-05,1.11
2020-08-04,1.11
2020-08-03,0.93
2020-08-02,1.15
2020-08-01,1.33
2020-07-31,1.52
2020-07-30,1.57
2020-07-29,1.48
2020-07-28,1.38
2020-07-27,1.31
2020-07-26,1.45
2020-07-25,1.58
2020-07-24,1.87
2020-07-23,1.81
2020-07-22,1.79
2020-07-21,1.67
2020-07-20,1.52
2020-07-19,1.73
2020-07-18,1.78
2020-07-17,2.15
2020-07-16,2.03
2020-07-15,2.03
2020-07-14,1.77
2020-07-13,1.75
2020-07-12,1.89
2020-07-11,1.97
2020-07-10,2.16
2020-07-09,1.94
2020-07-08,2.11
2020-07-07,1.77
2020-07-06,1.44
2020-07-05,1.59
2020-07-04,1.95
2020-07-03,1.97
2020-07-02,2.0
2020-07-01,1.94
2020-06-30,1.85
2020-06-29,1.57
2020-06-28,1.66
2020-06-27,1.75
2020-06-26,1.84
2020-06-25,1.68
2020-06-24,1.67
2020-06-23,1.48
2020-06-22,1.2
2020-06-21,1.29
2020-06-20,1.45
2020-06-19,1.42
2020-06-18,1.26
2020-06-17,1.12
2020-06-16,1.11
2020-06-15,0.9
2020-06-14,1.03
2020-06-13,1.24
2020-06-12,1.15
2020-06-11,1.11
2020-06-10,1.05
2020-06-09,0.88
2020-06-08,0.89
2020-06-07,0.98
2020-06-06,1.19
2020-06-05,1.23
2020-06-04,1.1
2020-06-03,1.1
2020-06-02,1.11
2020-06-01,1.14
2020-05-31,1.21
2020-05-30,1.34
2020-05-29,1.37
2020-05-28,1.33
2020-05-27,1.15
2020-05-26,1.02
2020-05-25,1.13
2020-05-24,1.16
2020-05-23,1.39
2020-05-22,1.53
2020-05-21,1.72
2020-05-20,1.39
2020-05-19,1.38
2020-05-18,1.4
2020-05-17,1.37
2020-05-16,1.63
2020-05-15,1.79
2020-05-14,1.92
2020-05-13,1.58
2020-05-12,1.67
2020-05-11,1.37
2020-05-10,1.59
2020-05-09,1.96
2020-05-08,2.16
2020-05-07,2.21
2020-05-06,2.08
2020-05-05,1.9
2020-05-04,1.94
2020-05-03,2.25
2020-05-02,2.62
2020-05-01,3.05
2020-04-30,2.87
2020-04-29,2.58
2020-04-28,2.56
2020-04-27,2.33
2020-04-26,2.87
2020-04-25,3.93
2020-04-24,3.93
2020-04-23,3.8
2020-04-22,3.59
2020-04-21,3.34
2020-04-20,3.44
2020-04-19,3.73
2020-04-18,3.95
2020-04-17,4.76
2020-04-16,4.93
2020-04-15,4.89
2020-04-14,4.46
2020-04-13,4.36
2020-04-12,5.26
2020-04-11,6.21
2020-04-10,7.16
2020-04-09,8.11
2020-04-08,7.7
2020-04-07,8.28
2020-04-06,8.3
2020-04-05,8.09
2020-04-04,11.59
2020-04-03,12.63
2020-04-02,12.52
2020-04-01,13.19
2020-03-31,14.58
2020-03-30,14.19
2020-03-29,14.75
2020-03-28,17.47
2020-03-27,20.7
2020-03-26,23.56
2020-03-25,20.09
2020-03-24,21.57
2020-03-23,28.53
2020-03-22,29.58
2020-03-21,27.98
2020-03-20,33.95
2020-03-19,34.86
2020-03-18,33.57
2020-03-17,28.94
2020-03-16,31.38
2020-03-15,25.9
2020-03-14,26.02
2020-03-13,33.38
2020-03-12,36.34
2020-03-11,32.0
2020-03-10,39.66
2020-03-09,34.95
2020-03-08,31.21
2020-03-07,26.36
2020-03-06,35.79
2020-03-05,31.65
2020-03-04,91.72
2020-03-03,54.26
2020-03-02,88.0
2020-03-01,177.78
